id,course_id,outcome,is_active
173,12,Summarize numerical concerns for implementations of deep learning algorithms,1
174,12,Design a simple architecture of a Multi-Layer Perceptron,1
175,12,Understand how to design different activation functions to solve the vanishing and exploding gradient problems,1
176,12,"Formulate several forms of regularization strategies to create a large, deep, regularized model",1
177,12,Review applications of Convolutional Neural Networks (CNNs),1
178,12,Study the basics of Recurrent Neural Networks (RNNs),1
179,12,Explore the shortcomings of basic RNNs and how to alleviate them with Long Short Term Memory (LSTM) cells,1
180,12,Investigate in-depth how autoencoders work and how to use them for dimensionality reduction and feature extraction,1
181,12,Interpret hidden latent variables using perturbation and generate new examples,1
182,12,Explain the training process of Generative Adversarial Networks (GANs) that compete against each other and the difficulties of the process,1
183,12,Explore various applications of GANs and their recent advances,1
184,12,Explore the basic components of Reinforcement Learning (RL) including the Markov Decision Process (MDP),1
185,12,Learn to solve for optimal state action values by using Q learning and Deep Q Networks (DQNs),1
186,12,Examine Policy Gradients (PGs) to directly optimize policies as well as a hybrid method called actor critic advantage,1
187,12,Understand how to deploy models to TensorFlow Serving and then scale up to Google Cloud AI Platform,1
188,12,"Deploy models to mobile apps, embedded devices, and web apps",1
189,12,Understand how adversarial attacks work,1
190,12,Explore bias in data and algorithms,1
191,12,Analyze the issues in uncertainty estimation,1
192,13,"Understand the fundamentals of modern business with an emphasis on stakeholders, value creation, industries, markets, and competition",0
193,13,"Apply Data Science tools to the primary business functions in which they may be working (e.g., strategy, sales, marketing, finance, operations, human resources, and technology)",0
194,13,"Understand key data sources, models, metrics, and tools that will be critical to Data Scientists during their careers as they work in or support each of these business functions",0
195,13,"Apply ethical Data Science principals to key business functions (e.g., finance and marketing)",0
196,13,"Use critical thinking skills to understand, analyze, or solve business problems",0
197,13,Communicate effectively in both speech and writing,0
198,13,Collaborate effectively with peers,0
199,13,Formulate and ask insightful questions,0
200,13,Engage appropriately with senior executives at an enterprise level,0
201,14,Research documentation on your own as a first line of action,1
202,14,Describe the components of a computer,1
203,14,Explain the scales of computational power and scales of data,1
204,14,"Differentiate between Windows, MacOS, and Linux operating systems",1
205,14,Compare Command Line (CLI) and Graphical User Interface (GUI) shells,1
206,14,Demonstrate installing software to your computer,1
207,14,Implement important tasks with Linux,1
208,14,Create a GitHub account for career or personal use,1
209,14,Use CLI to operate Git software for version control,1
210,14,Use GUI to operate GitHub website interface for version control,1
211,14,Know how to install R,1
212,14,Know how to install and launch RStudio,1
213,14,Know how to install Anaconda,1
214,14,Know how to launch Spyder,1
215,14,Know how to launch a JuPyteR notebook,1
216,16,Use regression analysis to answer questions of interest in a wide variety of application environments,1
217,16,Determine the most appropriate regression model for a given data set,1
218,16,Identify the assumptions and limitations of a given regression model,1
219,16,Diagnose and remedy common problems with regression models due to modeling real data,1
220,16,Work with various data structures and primitive data types in the R programming language,1
221,16,"Process R data frames into the forms necessary for subsequent analysis by subsetting by rows, columns, and condition; changing column names; removing missing values; and combining data frames with vectors",1
222,16,Use appropriate numerical and graphical summaries based on the question of interest and type of data,1
223,16,Use statistical software R for regression analysis,1
224,16,State appropriate context specific conclusions from an analysis,1
225,16,"Present and discuss orally and in writing statistical ideas, methods, and results to lay and professional audiences",1
226,16,Work in teams to demonstrate the skills of a professional statistician in organizing and managing projects,1
227,16,Describe the mathematical framework of regression models,1
228,16,Describe the importance of assessing assumptions and limitations of regression models,1
